run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
targetDc-0-20240612-20:55:21-5826,runattr,,,configname,targetDc,,,
targetDc-0-20240612-20:55:21-5826,runattr,,,datetime,20240612-20:55:21,,,
targetDc-0-20240612-20:55:21-5826,runattr,,,experiment,targetDc,,,
targetDc-0-20240612-20:55:21-5826,runattr,,,inifile,omnetpp.ini,,,
targetDc-0-20240612-20:55:21-5826,runattr,,,iterationvars,,,,
targetDc-0-20240612-20:55:21-5826,runattr,,,iterationvarsf,,,,
targetDc-0-20240612-20:55:21-5826,runattr,,,measurement,,,,
targetDc-0-20240612-20:55:21-5826,runattr,,,network,BigNet,,,
targetDc-0-20240612-20:55:21-5826,runattr,,,processid,5826,,,
targetDc-0-20240612-20:55:21-5826,runattr,,,repetition,0,,,
targetDc-0-20240612-20:55:21-5826,runattr,,,replication,#0,,,
targetDc-0-20240612-20:55:21-5826,runattr,,,resultdir,results,,,
targetDc-0-20240612-20:55:21-5826,runattr,,,runnumber,0,,,
targetDc-0-20240612-20:55:21-5826,runattr,,,seedset,0,,,
targetDc-0-20240612-20:55:21-5826,param,,,*.user*.serviceName,"""service""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.local*.ipv4Delayer.config,"xmldoc(""local.xml"")",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.metro*.ipv4Delayer.config,"xmldoc(""metropolitan.xml"")",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.backbone*.ipv4Delayer.config,"xmldoc(""backbone.xml"")",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.simData.simSchema.typename,"""SimSchemaMySQL""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.simData.simSchema.hostName,"""tcp://127.0.0.1:3306""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.simData.manager.experiment,"""Test""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.ipv4.arp.typename,"""GlobalArp""",,,
targetDc-0-20240612-20:55:21-5826,param,,,**.ipv4.routingTable.netmaskRoutes,"""""",,,
targetDc-0-20240612-20:55:21-5826,param,,,*.dc.numBlades,40,,,
