run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetDc-0-20250510-21:01:22-59696,runattr,,,configname,targetDc,,
targetDc-0-20250510-21:01:22-59696,runattr,,,datetime,20250510-21:01:22,,
targetDc-0-20250510-21:01:22-59696,runattr,,,datetimef,20250510-210122,,
targetDc-0-20250510-21:01:22-59696,runattr,,,experiment,targetDc,,
targetDc-0-20250510-21:01:22-59696,runattr,,,inifile,omnetpp.ini,,
targetDc-0-20250510-21:01:22-59696,runattr,,,iterationvars,,,
targetDc-0-20250510-21:01:22-59696,runattr,,,iterationvarsd,,,
targetDc-0-20250510-21:01:22-59696,runattr,,,iterationvarsf,,,
targetDc-0-20250510-21:01:22-59696,runattr,,,measurement,,,
targetDc-0-20250510-21:01:22-59696,runattr,,,network,BigNet,,
targetDc-0-20250510-21:01:22-59696,runattr,,,processid,59696,,
targetDc-0-20250510-21:01:22-59696,runattr,,,repetition,0,,
targetDc-0-20250510-21:01:22-59696,runattr,,,replication,#0,,
targetDc-0-20250510-21:01:22-59696,runattr,,,resultdir,results,,
targetDc-0-20250510-21:01:22-59696,runattr,,,runnumber,0,,
targetDc-0-20250510-21:01:22-59696,runattr,,,seedset,0,,
targetDc-0-20250510-21:01:22-59696,config,,,*.users*.user.deploymentZone,"""cloud""",,
targetDc-0-20250510-21:01:22-59696,config,,,network,BigNet,,
targetDc-0-20250510-21:01:22-59696,config,,,sim-time-limit,1h,,
targetDc-0-20250510-21:01:22-59696,config,,,print-undisposed,true,,
targetDc-0-20250510-21:01:22-59696,config,,,**.cloudProvider.cmdenv-log-level,off,,
targetDc-0-20250510-21:01:22-59696,config,,,**.userGenerator.cmdenv-log-level,error,,
targetDc-0-20250510-21:01:22-59696,config,,,**.dcManager.cmdenv-log-level,error,,
targetDc-0-20250510-21:01:22-59696,config,,,**.cmdenv-log-level,off,,
targetDc-0-20250510-21:01:22-59696,config,,,cmdenv-log-prefix,(%t):[%l] %m  ,,
targetDc-0-20250510-21:01:22-59696,config,,,eventlog-message-detail-pattern,"*:userID,strVmId,isResponse,operation,result",,
targetDc-0-20250510-21:01:22-59696,config,,,**.sensor**.statistic-recording,false,,
targetDc-0-20250510-21:01:22-59696,config,,,**.actuator**.statistic-recording,false,,
targetDc-0-20250510-21:01:22-59696,config,,,**.ap.**.statistic-recording,false,,
targetDc-0-20250510-21:01:22-59696,config,,,**.dns**.statistic-recording,false,,
targetDc-0-20250510-21:01:22-59696,config,,,**.eth[*].**.statistic-recording,false,,
targetDc-0-20250510-21:01:22-59696,config,,,**.ipv4.**.statistic-recording,false,,
