run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetDc-0-20250510-20:45:55-55496,runattr,,,configname,targetDc,,
targetDc-0-20250510-20:45:55-55496,runattr,,,datetime,20250510-20:45:55,,
targetDc-0-20250510-20:45:55-55496,runattr,,,datetimef,20250510-204555,,
targetDc-0-20250510-20:45:55-55496,runattr,,,experiment,targetDc,,
targetDc-0-20250510-20:45:55-55496,runattr,,,inifile,omnetpp.ini,,
targetDc-0-20250510-20:45:55-55496,runattr,,,iterationvars,,,
targetDc-0-20250510-20:45:55-55496,runattr,,,iterationvarsd,,,
targetDc-0-20250510-20:45:55-55496,runattr,,,iterationvarsf,,,
targetDc-0-20250510-20:45:55-55496,runattr,,,measurement,,,
targetDc-0-20250510-20:45:55-55496,runattr,,,network,BigNet,,
targetDc-0-20250510-20:45:55-55496,runattr,,,processid,55496,,
targetDc-0-20250510-20:45:55-55496,runattr,,,repetition,0,,
targetDc-0-20250510-20:45:55-55496,runattr,,,replication,#0,,
targetDc-0-20250510-20:45:55-55496,runattr,,,resultdir,results,,
targetDc-0-20250510-20:45:55-55496,runattr,,,runnumber,0,,
targetDc-0-20250510-20:45:55-55496,runattr,,,seedset,0,,
targetDc-0-20250510-20:45:55-55496,config,,,*.users*.user.deploymentZone,"""cloud""",,
targetDc-0-20250510-20:45:55-55496,config,,,network,BigNet,,
targetDc-0-20250510-20:45:55-55496,config,,,sim-time-limit,1h,,
targetDc-0-20250510-20:45:55-55496,config,,,print-undisposed,true,,
targetDc-0-20250510-20:45:55-55496,config,,,**.cloudProvider.cmdenv-log-level,off,,
targetDc-0-20250510-20:45:55-55496,config,,,**.userGenerator.cmdenv-log-level,error,,
targetDc-0-20250510-20:45:55-55496,config,,,**.dcManager.cmdenv-log-level,error,,
targetDc-0-20250510-20:45:55-55496,config,,,**.cmdenv-log-level,off,,
targetDc-0-20250510-20:45:55-55496,config,,,cmdenv-log-prefix,(%t):[%l] %m  ,,
targetDc-0-20250510-20:45:55-55496,config,,,eventlog-message-detail-pattern,"*:userID,strVmId,isResponse,operation,result",,
targetDc-0-20250510-20:45:55-55496,config,,,**.sensor**.statistic-recording,false,,
targetDc-0-20250510-20:45:55-55496,config,,,**.actuator**.statistic-recording,false,,
