run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
targetFog-0-20240612-20:57:09-6213,runattr,,,configname,targetFog,,,
targetFog-0-20240612-20:57:09-6213,runattr,,,datetime,20240612-20:57:09,,,
targetFog-0-20240612-20:57:09-6213,runattr,,,experiment,targetFog,,,
targetFog-0-20240612-20:57:09-6213,runattr,,,inifile,omnetpp.ini,,,
targetFog-0-20240612-20:57:09-6213,runattr,,,iterationvars,,,,
targetFog-0-20240612-20:57:09-6213,runattr,,,iterationvarsf,,,,
targetFog-0-20240612-20:57:09-6213,runattr,,,measurement,,,,
targetFog-0-20240612-20:57:09-6213,runattr,,,network,BigNet,,,
targetFog-0-20240612-20:57:09-6213,runattr,,,processid,6213,,,
targetFog-0-20240612-20:57:09-6213,runattr,,,repetition,0,,,
targetFog-0-20240612-20:57:09-6213,runattr,,,replication,#0,,,
targetFog-0-20240612-20:57:09-6213,runattr,,,resultdir,results,,,
targetFog-0-20240612-20:57:09-6213,runattr,,,runnumber,0,,,
targetFog-0-20240612-20:57:09-6213,runattr,,,seedset,0,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersA[0..6].serviceName,"""fgA1""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersA[7..13].serviceName,"""fgA2""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersA[14..19].serviceName,"""fgA3""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersB[0..6].serviceName,"""fgB1""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersB[7..13].serviceName,"""fgB2""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersB[14..19].serviceName,"""fgB3""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersC[0..6].serviceName,"""fgC1""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersC[7..13].serviceName,"""fgC2""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersC[14..19].serviceName,"""fgC3""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersD[0..6].serviceName,"""fgD1""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersD[7..13].serviceName,"""fgD2""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersD[14..19].serviceName,"""fgD3""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersE[0..6].serviceName,"""fgE1""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersE[7..13].serviceName,"""fgE2""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.usersE[14..19].serviceName,"""fgE3""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.local*.ipv4Delayer.config,"xmldoc(""local.xml"")",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.metro*.ipv4Delayer.config,"xmldoc(""metropolitan.xml"")",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.backbone*.ipv4Delayer.config,"xmldoc(""backbone.xml"")",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.simData.simSchema.typename,"""SimSchemaMySQL""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.simData.simSchema.hostName,"""tcp://127.0.0.1:3306""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.simData.manager.experiment,"""Test""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.ipv4.arp.typename,"""GlobalArp""",,,
targetFog-0-20240612-20:57:09-6213,param,,,**.ipv4.routingTable.netmaskRoutes,"""""",,,
targetFog-0-20240612-20:57:09-6213,param,,,*.dc.numBlades,40,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.dc.blade[*].staticAppAssignment,false,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.dc.blade[*].isVirtualHardware,true,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.dc.blade[*].maxUsers,16,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.dc.blade[*].maxVMs,16,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.dc.blade[*].numCpuCores,16,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.dc.blade[*].memorySize,64GB,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.dc.blade[*].diskSize,4000GB,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.fg*.numBlades,10,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.fg*.blade[*].staticAppAssignment,false,,,
targetFog-0-20240612-20:57:09-6213,param,,,*.fg*.blade[*].isVirtualHardware,true,,,
