run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetFog-0-20250510-21:00:43-59548,runattr,,,configname,targetFog,,
targetFog-0-20250510-21:00:43-59548,runattr,,,datetime,20250510-21:00:43,,
targetFog-0-20250510-21:00:43-59548,runattr,,,datetimef,20250510-210043,,
targetFog-0-20250510-21:00:43-59548,runattr,,,experiment,targetFog,,
targetFog-0-20250510-21:00:43-59548,runattr,,,inifile,omnetpp.ini,,
targetFog-0-20250510-21:00:43-59548,runattr,,,iterationvars,,,
targetFog-0-20250510-21:00:43-59548,runattr,,,iterationvarsd,,,
targetFog-0-20250510-21:00:43-59548,runattr,,,iterationvarsf,,,
targetFog-0-20250510-21:00:43-59548,runattr,,,measurement,,,
targetFog-0-20250510-21:00:43-59548,runattr,,,network,BigNet,,
targetFog-0-20250510-21:00:43-59548,runattr,,,processid,59548,,
targetFog-0-20250510-21:00:43-59548,runattr,,,repetition,0,,
targetFog-0-20250510-21:00:43-59548,runattr,,,replication,#0,,
targetFog-0-20250510-21:00:43-59548,runattr,,,resultdir,results,,
targetFog-0-20250510-21:00:43-59548,runattr,,,runnumber,0,,
targetFog-0-20250510-21:00:43-59548,runattr,,,seedset,0,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersA[*].user.deploymentZone,"""edge-a""",,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersB[*].user.deploymentZone,"""edge-b""",,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersC[*].user.deploymentZone,"""edge-c""",,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersD[*].user.deploymentZone,"""edge-d""",,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersE[*].user.deploymentZone,"""edge-e""",,
targetFog-0-20250510-21:00:43-59548,config,,,network,BigNet,,
targetFog-0-20250510-21:00:43-59548,config,,,sim-time-limit,1h,,
targetFog-0-20250510-21:00:43-59548,config,,,print-undisposed,true,,
targetFog-0-20250510-21:00:43-59548,config,,,**.cloudProvider.cmdenv-log-level,off,,
targetFog-0-20250510-21:00:43-59548,config,,,**.userGenerator.cmdenv-log-level,error,,
targetFog-0-20250510-21:00:43-59548,config,,,**.dcManager.cmdenv-log-level,error,,
targetFog-0-20250510-21:00:43-59548,config,,,**.cmdenv-log-level,off,,
targetFog-0-20250510-21:00:43-59548,config,,,cmdenv-log-prefix,(%t):[%l] %m  ,,
targetFog-0-20250510-21:00:43-59548,config,,,eventlog-message-detail-pattern,"*:userID,strVmId,isResponse,operation,result",,
targetFog-0-20250510-21:00:43-59548,config,,,**.sensor**.statistic-recording,false,,
targetFog-0-20250510-21:00:43-59548,config,,,**.actuator**.statistic-recording,false,,
targetFog-0-20250510-21:00:43-59548,config,,,**.ap.**.statistic-recording,false,,
targetFog-0-20250510-21:00:43-59548,config,,,**.dns**.statistic-recording,false,,
targetFog-0-20250510-21:00:43-59548,config,,,**.eth[*].**.statistic-recording,false,,
targetFog-0-20250510-21:00:43-59548,config,,,**.ipv4.**.statistic-recording,false,,
targetFog-0-20250510-21:00:43-59548,config,,,**.dns**.scalar-recording,false,,
targetFog-0-20250510-21:00:43-59548,config,,,**.ap.**.scalar-recording,false,,
targetFog-0-20250510-21:00:43-59548,config,,,**.sensor**.scalar-recording,false,,
targetFog-0-20250510-21:00:43-59548,config,,,**.actuator**.scalar-recording,false,,
targetFog-0-20250510-21:00:43-59548,config,,,**.eth[*].**.scalar-recording,false,,
targetFog-0-20250510-21:00:43-59548,config,,,**.ipv4.**.scalar-recording,false,,
targetFog-0-20250510-21:00:43-59548,config,,,*.simData.manager.experiment,"""Test""",,
targetFog-0-20250510-21:00:43-59548,config,,,*.simData.engine.typename,JsonDataEngine,,
targetFog-0-20250510-21:00:43-59548,config,,,*.simData.engine.apps,"readJSON(""../../database/json/apps.json"")",,
targetFog-0-20250510-21:00:43-59548,config,,,*.simData.engine.vms,"readJSON(""../../database/json/vms.json"")",,
targetFog-0-20250510-21:00:43-59548,config,,,*.simData.engine.slas,[],,
targetFog-0-20250510-21:00:43-59548,config,,,*.simData.engine.users,[],,
targetFog-0-20250510-21:00:43-59548,config,,,*.simData.engine.experiments,[],,
targetFog-0-20250510-21:00:43-59548,config,,,num-rngs,12,,
targetFog-0-20250510-21:00:43-59548,config,,,*.localA.ipv4Delayer.rng-0,1,,
targetFog-0-20250510-21:00:43-59548,config,,,*.localB.ipv4Delayer.rng-0,2,,
targetFog-0-20250510-21:00:43-59548,config,,,*.localC.ipv4Delayer.rng-0,3,,
targetFog-0-20250510-21:00:43-59548,config,,,*.localD.ipv4Delayer.rng-0,4,,
targetFog-0-20250510-21:00:43-59548,config,,,*.localE.ipv4Delayer.rng-0,5,,
targetFog-0-20250510-21:00:43-59548,config,,,*.metroA.ipv4Delayer.rng-0,6,,
targetFog-0-20250510-21:00:43-59548,config,,,*.metroB.ipv4Delayer.rng-0,7,,
targetFog-0-20250510-21:00:43-59548,config,,,*.metroC.ipv4Delayer.rng-0,8,,
targetFog-0-20250510-21:00:43-59548,config,,,*.metroD.ipv4Delayer.rng-0,9,,
targetFog-0-20250510-21:00:43-59548,config,,,*.metroE.ipv4Delayer.rng-0,10,,
targetFog-0-20250510-21:00:43-59548,config,,,*.backbone*.ipv4Delayer.rng-0,11,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersA[*].sensor[*].model.rng-0,6,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersB[*].sensor[*].model.rng-0,7,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersC[*].sensor[*].model.rng-0,8,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersD[*].sensor[*].model.rng-0,9,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersE[*].sensor[*].model.rng-0,10,,
targetFog-0-20250510-21:00:43-59548,config,,,*.local*.ipv4Delayer.config,"xmldoc(""network/local.xml"")",,
targetFog-0-20250510-21:00:43-59548,config,,,*.metro*.ipv4Delayer.config,"xmldoc(""network/metropolitan.xml"")",,
targetFog-0-20250510-21:00:43-59548,config,,,*.backbone*.ipv4Delayer.config,"xmldoc(""network/backbone.xml"")",,
targetFog-0-20250510-21:00:43-59548,config,,,*.dns.db.zoneConfig,"readJSON(""network/dnszones.json"")",,
targetFog-0-20250510-21:00:43-59548,config,,,**.ipv4.arp.typename,GlobalArp,,
targetFog-0-20250510-21:00:43-59548,config,,,*.users*.enableRouterAsUplink,false,,
targetFog-0-20250510-21:00:43-59548,config,,,*.configurator.config,"readXML(""network/fastnetworkconf.xml"")",,
targetFog-0-20250510-21:00:43-59548,config,,,*.dc.numBlades,40,,
targetFog-0-20250510-21:00:43-59548,config,,,*.dc.blade[*].staticAppAssignment,false,,
targetFog-0-20250510-21:00:43-59548,config,,,*.dc.blade[*].maxUsers,16,,
targetFog-0-20250510-21:00:43-59548,config,,,*.dc.blade[*].maxVMs,16,,
targetFog-0-20250510-21:00:43-59548,config,,,*.dc.blade[*].numCpuCores,16,,
targetFog-0-20250510-21:00:43-59548,config,,,*.dc.blade[*].memorySize,64GB,,
targetFog-0-20250510-21:00:43-59548,config,,,*.dc.blade[*].diskSize,4000GB,,
targetFog-0-20250510-21:00:43-59548,config,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,
targetFog-0-20250510-21:00:43-59548,config,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,
targetFog-0-20250510-21:00:43-59548,config,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,
targetFog-0-20250510-21:00:43-59548,config,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,
targetFog-0-20250510-21:00:43-59548,config,,,*.fg*.numBlades,1,,
targetFog-0-20250510-21:00:43-59548,config,,,*.fg*.blade[*].staticAppAssignment,false,,
targetFog-0-20250510-21:00:43-59548,config,,,*.fg*.blade[*].maxUsers,8,,
targetFog-0-20250510-21:00:43-59548,config,,,*.fg*.blade[*].maxVMs,8,,
targetFog-0-20250510-21:00:43-59548,config,,,*.fg*.blade[*].numCpuCores,8,,
targetFog-0-20250510-21:00:43-59548,config,,,*.fg*.blade[*].memorySize,16GiB,,
targetFog-0-20250510-21:00:43-59548,config,,,*.fg*.blade[*].diskSize,2TiB,,
targetFog-0-20250510-21:00:43-59548,config,,,*.fg*.blade[*].diskReadBandwidth,500Mbps,,
targetFog-0-20250510-21:00:43-59548,config,,,*.fg*.blade[*].diskWriteBandwidth,500Mbps,,
targetFog-0-20250510-21:00:43-59548,config,,,*.fg*.blade[*].cpu.cpuCore[*].speed,60000,,
targetFog-0-20250510-21:00:43-59548,config,,,*.fg*.blade[*].cpu.cpuCore[*].tick,60s,,
targetFog-0-20250510-21:00:43-59548,config,,,*.dc.zone,"""cloud""",,
targetFog-0-20250510-21:00:43-59548,config,,,*.fgA*.zone,"""edge-a""",,
targetFog-0-20250510-21:00:43-59548,config,,,*.fgB*.zone,"""edge-b""",,
targetFog-0-20250510-21:00:43-59548,config,,,*.fgC*.zone,"""edge-c""",,
targetFog-0-20250510-21:00:43-59548,config,,,*.fgD*.zone,"""edge-d""",,
targetFog-0-20250510-21:00:43-59548,config,,,*.fgE*.zone,"""edge-e""",,
targetFog-0-20250510-21:00:43-59548,config,,,**.dataManagerPath,"""simData.manager""",,
targetFog-0-20250510-21:00:43-59548,config,,,**.smqIp,"""10.0.0.1""",,
targetFog-0-20250510-21:00:43-59548,config,,,**.dns,"""10.0.0.2""",,
targetFog-0-20250510-21:00:43-59548,config,,,**.ispResolver,"""10.0.0.2""",,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersA[0..1].typename,SmartBuilding,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersA[2..3].typename,SmartFactory,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersA[4..7].typename,SmartFarm,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersA[8..19].typename,SmartHouse,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersB[0..1].typename,SmartBuilding,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersB[2..3].typename,SmartFactory,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersB[4..7].typename,SmartFarm,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersB[8..19].typename,SmartHouse,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersC[0..1].typename,SmartBuilding,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersC[2..3].typename,SmartFactory,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersC[4..7].typename,SmartFarm,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersC[8..19].typename,SmartHouse,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersD[0..1].typename,SmartBuilding,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersD[2..3].typename,SmartFactory,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersD[4..7].typename,SmartFarm,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersD[8..19].typename,SmartHouse,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersE[0..1].typename,SmartBuilding,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersE[2..3].typename,SmartFactory,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersE[4..7].typename,SmartFarm,,
targetFog-0-20250510-21:00:43-59548,config,,,*.usersE[8..19].typename,SmartHouse,,
targetFog-0-20250510-21:00:43-59548,config,,,*.users*[0..1].user.startupTime,0.75s,,
