run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetFog-0-20250510-20:45:52-55490,runattr,,,configname,targetFog,,
targetFog-0-20250510-20:45:52-55490,runattr,,,datetime,20250510-20:45:52,,
targetFog-0-20250510-20:45:52-55490,runattr,,,datetimef,20250510-204552,,
targetFog-0-20250510-20:45:52-55490,runattr,,,experiment,targetFog,,
targetFog-0-20250510-20:45:52-55490,runattr,,,inifile,omnetpp.ini,,
targetFog-0-20250510-20:45:52-55490,runattr,,,iterationvars,,,
targetFog-0-20250510-20:45:52-55490,runattr,,,iterationvarsd,,,
targetFog-0-20250510-20:45:52-55490,runattr,,,iterationvarsf,,,
targetFog-0-20250510-20:45:52-55490,runattr,,,measurement,,,
targetFog-0-20250510-20:45:52-55490,runattr,,,network,BigNet,,
targetFog-0-20250510-20:45:52-55490,runattr,,,processid,55490,,
targetFog-0-20250510-20:45:52-55490,runattr,,,repetition,0,,
targetFog-0-20250510-20:45:52-55490,runattr,,,replication,#0,,
targetFog-0-20250510-20:45:52-55490,runattr,,,resultdir,results,,
targetFog-0-20250510-20:45:52-55490,runattr,,,runnumber,0,,
targetFog-0-20250510-20:45:52-55490,runattr,,,seedset,0,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersA[*].user.deploymentZone,"""edge-a""",,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersB[*].user.deploymentZone,"""edge-b""",,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersC[*].user.deploymentZone,"""edge-c""",,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersD[*].user.deploymentZone,"""edge-d""",,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersE[*].user.deploymentZone,"""edge-e""",,
targetFog-0-20250510-20:45:52-55490,config,,,network,BigNet,,
targetFog-0-20250510-20:45:52-55490,config,,,sim-time-limit,1h,,
targetFog-0-20250510-20:45:52-55490,config,,,print-undisposed,true,,
targetFog-0-20250510-20:45:52-55490,config,,,**.cloudProvider.cmdenv-log-level,off,,
targetFog-0-20250510-20:45:52-55490,config,,,**.userGenerator.cmdenv-log-level,error,,
targetFog-0-20250510-20:45:52-55490,config,,,**.dcManager.cmdenv-log-level,error,,
targetFog-0-20250510-20:45:52-55490,config,,,**.cmdenv-log-level,off,,
targetFog-0-20250510-20:45:52-55490,config,,,cmdenv-log-prefix,(%t):[%l] %m  ,,
targetFog-0-20250510-20:45:52-55490,config,,,eventlog-message-detail-pattern,"*:userID,strVmId,isResponse,operation,result",,
targetFog-0-20250510-20:45:52-55490,config,,,**.sensor**.statistic-recording,false,,
targetFog-0-20250510-20:45:52-55490,config,,,**.actuator**.statistic-recording,false,,
targetFog-0-20250510-20:45:52-55490,config,,,**.ap.**.statistic-recording,false,,
targetFog-0-20250510-20:45:52-55490,config,,,**.dns**.statistic-recording,false,,
targetFog-0-20250510-20:45:52-55490,config,,,**.eth[*].**.statistic-recording,false,,
targetFog-0-20250510-20:45:52-55490,config,,,**.ipv4.**.statistic-recording,false,,
targetFog-0-20250510-20:45:52-55490,config,,,**.dns**.scalar-recording,false,,
targetFog-0-20250510-20:45:52-55490,config,,,**.ap.**.scalar-recording,false,,
targetFog-0-20250510-20:45:52-55490,config,,,**.sensor**.scalar-recording,false,,
targetFog-0-20250510-20:45:52-55490,config,,,**.actuator**.scalar-recording,false,,
targetFog-0-20250510-20:45:52-55490,config,,,**.eth[*].**.scalar-recording,false,,
targetFog-0-20250510-20:45:52-55490,config,,,**.ipv4.**.scalar-recording,false,,
targetFog-0-20250510-20:45:52-55490,config,,,*.simData.manager.experiment,"""Test""",,
targetFog-0-20250510-20:45:52-55490,config,,,*.simData.engine.typename,JsonDataEngine,,
targetFog-0-20250510-20:45:52-55490,config,,,*.simData.engine.apps,"readJSON(""../../database/json/apps.json"")",,
targetFog-0-20250510-20:45:52-55490,config,,,*.simData.engine.vms,"readJSON(""../../database/json/vms.json"")",,
targetFog-0-20250510-20:45:52-55490,config,,,*.simData.engine.slas,[],,
targetFog-0-20250510-20:45:52-55490,config,,,*.simData.engine.users,[],,
targetFog-0-20250510-20:45:52-55490,config,,,*.simData.engine.experiments,[],,
targetFog-0-20250510-20:45:52-55490,config,,,num-rngs,12,,
targetFog-0-20250510-20:45:52-55490,config,,,*.localA.ipv4Delayer.rng-0,1,,
targetFog-0-20250510-20:45:52-55490,config,,,*.localB.ipv4Delayer.rng-0,2,,
targetFog-0-20250510-20:45:52-55490,config,,,*.localC.ipv4Delayer.rng-0,3,,
targetFog-0-20250510-20:45:52-55490,config,,,*.localD.ipv4Delayer.rng-0,4,,
targetFog-0-20250510-20:45:52-55490,config,,,*.localE.ipv4Delayer.rng-0,5,,
targetFog-0-20250510-20:45:52-55490,config,,,*.metroA.ipv4Delayer.rng-0,6,,
targetFog-0-20250510-20:45:52-55490,config,,,*.metroB.ipv4Delayer.rng-0,7,,
targetFog-0-20250510-20:45:52-55490,config,,,*.metroC.ipv4Delayer.rng-0,8,,
targetFog-0-20250510-20:45:52-55490,config,,,*.metroD.ipv4Delayer.rng-0,9,,
targetFog-0-20250510-20:45:52-55490,config,,,*.metroE.ipv4Delayer.rng-0,10,,
targetFog-0-20250510-20:45:52-55490,config,,,*.backbone*.ipv4Delayer.rng-0,11,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersA[*].sensor[*].model.rng-0,6,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersB[*].sensor[*].model.rng-0,7,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersC[*].sensor[*].model.rng-0,8,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersD[*].sensor[*].model.rng-0,9,,
targetFog-0-20250510-20:45:52-55490,config,,,*.usersE[*].sensor[*].model.rng-0,10,,
targetFog-0-20250510-20:45:52-55490,config,,,*.local*.ipv4Delayer.config,"xmldoc(""network/local.xml"")",,
targetFog-0-20250510-20:45:52-55490,config,,,*.metro*.ipv4Delayer.config,"xmldoc(""network/metropolitan.xml"")",,
targetFog-0-20250510-20:45:52-55490,config,,,*.backbone*.ipv4Delayer.config,"xmldoc(""network/backbone.xml"")",,
targetFog-0-20250510-20:45:52-55490,config,,,*.dns.db.zoneConfig,"readJSON(""network/dnszones.json"")",,
targetFog-0-20250510-20:45:52-55490,config,,,**.ipv4.arp.typename,GlobalArp,,
targetFog-0-20250510-20:45:52-55490,config,,,*.users*.enableRouterAsUplink,false,,
targetFog-0-20250510-20:45:52-55490,config,,,**.tcp.mss,1460,,
targetFog-0-20250510-20:45:52-55490,config,,,*.configurator.config,"readXML(""network/fastnetworkconf.xml"")",,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.numBlades,40,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.blade[*].staticAppAssignment,false,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.blade[*].maxUsers,16,,
targetFog-0-20250510-20:45:52-55490,config,,,*.dc.blade[*].maxVMs,16,,
