run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetDc-0-20250504-18:17:42-72404,runattr,,,configname,targetDc,,
targetDc-0-20250504-18:17:42-72404,runattr,,,datetime,20250504-18:17:42,,
targetDc-0-20250504-18:17:42-72404,runattr,,,datetimef,20250504-181742,,
targetDc-0-20250504-18:17:42-72404,runattr,,,experiment,targetDc,,
targetDc-0-20250504-18:17:42-72404,runattr,,,inifile,omnetpp.ini,,
targetDc-0-20250504-18:17:42-72404,runattr,,,iterationvars,,,
targetDc-0-20250504-18:17:42-72404,runattr,,,iterationvarsd,,,
targetDc-0-20250504-18:17:42-72404,runattr,,,iterationvarsf,,,
targetDc-0-20250504-18:17:42-72404,runattr,,,measurement,,,
targetDc-0-20250504-18:17:42-72404,runattr,,,network,MediumNet,,
targetDc-0-20250504-18:17:42-72404,runattr,,,processid,72404,,
targetDc-0-20250504-18:17:42-72404,runattr,,,repetition,0,,
targetDc-0-20250504-18:17:42-72404,runattr,,,replication,#0,,
targetDc-0-20250504-18:17:42-72404,runattr,,,resultdir,results,,
targetDc-0-20250504-18:17:42-72404,runattr,,,runnumber,0,,
targetDc-0-20250504-18:17:42-72404,runattr,,,seedset,0,,
targetDc-0-20250504-18:17:42-72404,config,,,image-path,../../images:../../../inet4.5/images,,
targetDc-0-20250504-18:17:42-72404,config,,,*.users*.user.deploymentZone,"""cloud""",,
targetDc-0-20250504-18:17:42-72404,config,,,network,MediumNet,,
targetDc-0-20250504-18:17:42-72404,config,,,print-undisposed,true,,
targetDc-0-20250504-18:17:42-72404,config,,,sim-time-limit,1h,,
targetDc-0-20250504-18:17:42-72404,config,,,**.cloudProvider.cmdenv-log-level,off,,
targetDc-0-20250504-18:17:42-72404,config,,,**.userGenerator.cmdenv-log-level,error,,
targetDc-0-20250504-18:17:42-72404,config,,,**.dcManager.cmdenv-log-level,error,,
targetDc-0-20250504-18:17:42-72404,config,,,**.cmdenv-log-level,off,,
targetDc-0-20250504-18:17:42-72404,config,,,cmdenv-log-prefix,(%t):[%l] %m  ,,
targetDc-0-20250504-18:17:42-72404,config,,,eventlog-message-detail-pattern,"*:userID,strVmId,isResponse,operation,result",,
targetDc-0-20250504-18:17:42-72404,config,,,**.sensor**.statistic-recording,false,,
targetDc-0-20250504-18:17:42-72404,config,,,**.actuator**.statistic-recording,false,,
targetDc-0-20250504-18:17:42-72404,config,,,**.ap.**.statistic-recording,false,,
targetDc-0-20250504-18:17:42-72404,config,,,**.dns**.statistic-recording,false,,
targetDc-0-20250504-18:17:42-72404,config,,,**.eth[*].**.statistic-recording,false,,
targetDc-0-20250504-18:17:42-72404,config,,,**.ipv4.**.statistic-recording,false,,
targetDc-0-20250504-18:17:42-72404,config,,,**.dns**.scalar-recording,false,,
targetDc-0-20250504-18:17:42-72404,config,,,**.ap**.scalar-recording,false,,
targetDc-0-20250504-18:17:42-72404,config,,,**.sensor**.scalar-recording,false,,
targetDc-0-20250504-18:17:42-72404,config,,,**.actuator**.scalar-recording,false,,
targetDc-0-20250504-18:17:42-72404,config,,,**.eth[*].**.scalar-recording,false,,
targetDc-0-20250504-18:17:42-72404,config,,,**.ipv4.**.scalar-recording,false,,
targetDc-0-20250504-18:17:42-72404,config,,,*.simData.manager.experiment,"""Test""",,
targetDc-0-20250504-18:17:42-72404,config,,,*.simData.engine.typename,JsonDataEngine,,
targetDc-0-20250504-18:17:42-72404,config,,,*.simData.engine.apps,"readJSON(""../../database/json/apps.json"")",,
targetDc-0-20250504-18:17:42-72404,config,,,*.simData.engine.vms,"readJSON(""../../database/json/vms.json"")",,
targetDc-0-20250504-18:17:42-72404,config,,,*.simData.engine.slas,[],,
targetDc-0-20250504-18:17:42-72404,config,,,*.simData.engine.users,[],,
targetDc-0-20250504-18:17:42-72404,config,,,*.simData.engine.experiments,[],,
targetDc-0-20250504-18:17:42-72404,config,,,num-rngs,4,,
targetDc-0-20250504-18:17:42-72404,config,,,**.local.ipv4Delayer.rng-0,1,,
targetDc-0-20250504-18:17:42-72404,config,,,**.metropolitan.ipv4Delayer.rng-0,2,,
targetDc-0-20250504-18:17:42-72404,config,,,**.backbone.ipv4Delayer.rng-0,3,,
targetDc-0-20250504-18:17:42-72404,config,,,*.local.ipv4Delayer.config,"xmldoc(""network/local.xml"")",,
targetDc-0-20250504-18:17:42-72404,config,,,*.metropolitan.ipv4Delayer.config,"xmldoc(""network/metropolitan.xml"")",,
targetDc-0-20250504-18:17:42-72404,config,,,*.backbone.ipv4Delayer.config,"xmldoc(""network/backbone.xml"")",,
targetDc-0-20250504-18:17:42-72404,config,,,*.configurator.config,"readXML(""network/networkconf.xml"")",,
targetDc-0-20250504-18:17:42-72404,config,,,*.dns.db.zoneConfig,"readJSON(""network/dnszones.json"")",,
targetDc-0-20250504-18:17:42-72404,config,,,**.ipv4.arp.typename,GlobalArp,,
targetDc-0-20250504-18:17:42-72404,config,,,*.dc.numBlades,40,,
targetDc-0-20250504-18:17:42-72404,config,,,*.dc.zone,"""cloud""",,
targetDc-0-20250504-18:17:42-72404,config,,,*.dc.blade[*].staticAppAssignment,false,,
targetDc-0-20250504-18:17:42-72404,config,,,*.dc.blade[*].maxUsers,16,,
targetDc-0-20250504-18:17:42-72404,config,,,*.dc.blade[*].maxVMs,16,,
targetDc-0-20250504-18:17:42-72404,config,,,*.dc.blade[*].numCpuCores,16,,
targetDc-0-20250504-18:17:42-72404,config,,,*.dc.blade[*].memorySize,64GB,,
targetDc-0-20250504-18:17:42-72404,config,,,*.dc.blade[*].diskSize,4000GB,,
targetDc-0-20250504-18:17:42-72404,config,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,
