run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetFog-0-20250504-18:17:18-72178,runattr,,,configname,targetFog,,
targetFog-0-20250504-18:17:18-72178,runattr,,,datetime,20250504-18:17:18,,
targetFog-0-20250504-18:17:18-72178,runattr,,,datetimef,20250504-181718,,
targetFog-0-20250504-18:17:18-72178,runattr,,,experiment,targetFog,,
targetFog-0-20250504-18:17:18-72178,runattr,,,inifile,omnetpp.ini,,
targetFog-0-20250504-18:17:18-72178,runattr,,,iterationvars,,,
targetFog-0-20250504-18:17:18-72178,runattr,,,iterationvarsd,,,
targetFog-0-20250504-18:17:18-72178,runattr,,,iterationvarsf,,,
targetFog-0-20250504-18:17:18-72178,runattr,,,measurement,,,
targetFog-0-20250504-18:17:18-72178,runattr,,,network,MediumNet,,
targetFog-0-20250504-18:17:18-72178,runattr,,,processid,72178,,
targetFog-0-20250504-18:17:18-72178,runattr,,,repetition,0,,
targetFog-0-20250504-18:17:18-72178,runattr,,,replication,#0,,
targetFog-0-20250504-18:17:18-72178,runattr,,,resultdir,results,,
targetFog-0-20250504-18:17:18-72178,runattr,,,runnumber,0,,
targetFog-0-20250504-18:17:18-72178,runattr,,,seedset,0,,
targetFog-0-20250504-18:17:18-72178,config,,,image-path,../../images:../../../inet4.5/images,,
targetFog-0-20250504-18:17:18-72178,config,,,*.users*.user.deploymentZone,"""edge""",,
targetFog-0-20250504-18:17:18-72178,config,,,network,MediumNet,,
targetFog-0-20250504-18:17:18-72178,config,,,print-undisposed,true,,
targetFog-0-20250504-18:17:18-72178,config,,,sim-time-limit,1h,,
targetFog-0-20250504-18:17:18-72178,config,,,**.cloudProvider.cmdenv-log-level,off,,
targetFog-0-20250504-18:17:18-72178,config,,,**.userGenerator.cmdenv-log-level,error,,
targetFog-0-20250504-18:17:18-72178,config,,,**.dcManager.cmdenv-log-level,error,,
targetFog-0-20250504-18:17:18-72178,config,,,**.cmdenv-log-level,off,,
targetFog-0-20250504-18:17:18-72178,config,,,cmdenv-log-prefix,(%t):[%l] %m  ,,
targetFog-0-20250504-18:17:18-72178,config,,,eventlog-message-detail-pattern,"*:userID,strVmId,isResponse,operation,result",,
targetFog-0-20250504-18:17:18-72178,config,,,**.sensor**.statistic-recording,false,,
targetFog-0-20250504-18:17:18-72178,config,,,**.actuator**.statistic-recording,false,,
targetFog-0-20250504-18:17:18-72178,config,,,**.ap.**.statistic-recording,false,,
targetFog-0-20250504-18:17:18-72178,config,,,**.dns**.statistic-recording,false,,
targetFog-0-20250504-18:17:18-72178,config,,,**.eth[*].**.statistic-recording,false,,
targetFog-0-20250504-18:17:18-72178,config,,,**.ipv4.**.statistic-recording,false,,
targetFog-0-20250504-18:17:18-72178,config,,,**.dns**.scalar-recording,false,,
targetFog-0-20250504-18:17:18-72178,config,,,**.ap**.scalar-recording,false,,
targetFog-0-20250504-18:17:18-72178,config,,,**.sensor**.scalar-recording,false,,
targetFog-0-20250504-18:17:18-72178,config,,,**.actuator**.scalar-recording,false,,
targetFog-0-20250504-18:17:18-72178,config,,,**.eth[*].**.scalar-recording,false,,
targetFog-0-20250504-18:17:18-72178,config,,,**.ipv4.**.scalar-recording,false,,
targetFog-0-20250504-18:17:18-72178,config,,,*.simData.manager.experiment,"""Test""",,
targetFog-0-20250504-18:17:18-72178,config,,,*.simData.engine.typename,JsonDataEngine,,
targetFog-0-20250504-18:17:18-72178,config,,,*.simData.engine.apps,"readJSON(""../../database/json/apps.json"")",,
targetFog-0-20250504-18:17:18-72178,config,,,*.simData.engine.vms,"readJSON(""../../database/json/vms.json"")",,
targetFog-0-20250504-18:17:18-72178,config,,,*.simData.engine.slas,[],,
targetFog-0-20250504-18:17:18-72178,config,,,*.simData.engine.users,[],,
targetFog-0-20250504-18:17:18-72178,config,,,*.simData.engine.experiments,[],,
targetFog-0-20250504-18:17:18-72178,config,,,num-rngs,4,,
targetFog-0-20250504-18:17:18-72178,config,,,**.local.ipv4Delayer.rng-0,1,,
targetFog-0-20250504-18:17:18-72178,config,,,**.metropolitan.ipv4Delayer.rng-0,2,,
targetFog-0-20250504-18:17:18-72178,config,,,**.backbone.ipv4Delayer.rng-0,3,,
targetFog-0-20250504-18:17:18-72178,config,,,*.local.ipv4Delayer.config,"xmldoc(""network/local.xml"")",,
targetFog-0-20250504-18:17:18-72178,config,,,*.metropolitan.ipv4Delayer.config,"xmldoc(""network/metropolitan.xml"")",,
targetFog-0-20250504-18:17:18-72178,config,,,*.backbone.ipv4Delayer.config,"xmldoc(""network/backbone.xml"")",,
targetFog-0-20250504-18:17:18-72178,config,,,*.configurator.config,"readXML(""network/networkconf.xml"")",,
targetFog-0-20250504-18:17:18-72178,config,,,*.dns.db.zoneConfig,"readJSON(""network/dnszones.json"")",,
targetFog-0-20250504-18:17:18-72178,config,,,**.ipv4.arp.typename,GlobalArp,,
targetFog-0-20250504-18:17:18-72178,config,,,*.dc.numBlades,40,,
targetFog-0-20250504-18:17:18-72178,config,,,*.dc.zone,"""cloud""",,
targetFog-0-20250504-18:17:18-72178,config,,,*.dc.blade[*].staticAppAssignment,false,,
targetFog-0-20250504-18:17:18-72178,config,,,*.dc.blade[*].maxUsers,16,,
targetFog-0-20250504-18:17:18-72178,config,,,*.dc.blade[*].maxVMs,16,,
targetFog-0-20250504-18:17:18-72178,config,,,*.dc.blade[*].numCpuCores,16,,
targetFog-0-20250504-18:17:18-72178,config,,,*.dc.blade[*].memorySize,64GB,,
targetFog-0-20250504-18:17:18-72178,config,,,*.dc.blade[*].diskSize,4000GB,,
targetFog-0-20250504-18:17:18-72178,config,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,
targetFog-0-20250504-18:17:18-72178,config,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,
