run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
targetDc-18-20240608-15:20:45-136299,runattr,,,configname,targetDc,,,
targetDc-18-20240608-15:20:45-136299,runattr,,,datetime,20240608-15:20:45,,,
targetDc-18-20240608-15:20:45-136299,runattr,,,experiment,targetDc,,,
targetDc-18-20240608-15:20:45-136299,runattr,,,inifile,omnetpp.ini,,,
targetDc-18-20240608-15:20:45-136299,runattr,,,iterationvars,,,,
targetDc-18-20240608-15:20:45-136299,runattr,,,iterationvarsf,,,,
targetDc-18-20240608-15:20:45-136299,runattr,,,measurement,,,,
targetDc-18-20240608-15:20:45-136299,runattr,,,network,SimpleFogNetwork,,,
targetDc-18-20240608-15:20:45-136299,runattr,,,processid,136299,,,
targetDc-18-20240608-15:20:45-136299,runattr,,,repetition,18,,,
targetDc-18-20240608-15:20:45-136299,runattr,,,replication,#18,,,
targetDc-18-20240608-15:20:45-136299,runattr,,,resultdir,results,,,
targetDc-18-20240608-15:20:45-136299,runattr,,,runnumber,18,,,
targetDc-18-20240608-15:20:45-136299,runattr,,,seedset,18,,,
targetDc-18-20240608-15:20:45-136299,param,,,**.tile*.serviceName,"""service""",,,
targetDc-18-20240608-15:20:45-136299,param,,,**.metropolitan.ipv4Delayer.config,"xmldoc(""metropolitan.xml"")",,,
targetDc-18-20240608-15:20:45-136299,param,,,**.backbone.ipv4Delayer.config,"xmldoc(""backbone.xml"")",,,
targetDc-18-20240608-15:20:45-136299,param,,,*.simData.simSchema.typename,"""SimSchemaMySQL""",,,
targetDc-18-20240608-15:20:45-136299,param,,,*.simData.simSchema.hostName,"""tcp://127.0.0.1:3306""",,,
targetDc-18-20240608-15:20:45-136299,param,,,*.simData.manager.experiment,"""Test""",,,
targetDc-18-20240608-15:20:45-136299,param,,,**.ipv4.arp.typename,"""GlobalArp""",,,
targetDc-18-20240608-15:20:45-136299,param,,,*.*.ipv4.routingTable.netmaskRoutes,"""""",,,
targetDc-18-20240608-15:20:45-136299,param,,,*.dc.numBlades,4,,,
targetDc-18-20240608-15:20:45-136299,param,,,*.dc.blade[*].staticAppAssignment,false,,,
targetDc-18-20240608-15:20:45-136299,param,,,*.dc.blade[*].isVirtualHardware,true,,,
targetDc-18-20240608-15:20:45-136299,param,,,*.dc.blade[*].maxUsers,24,,,
targetDc-18-20240608-15:20:45-136299,param,,,*.dc.blade[*].maxVMs,24,,,
targetDc-18-20240608-15:20:45-136299,param,,,*.dc.blade[*].numCpuCores,24,,,
targetDc-18-20240608-15:20:45-136299,param,,,*.dc.blade[*].memorySize,256GB,,,
targetDc-18-20240608-15:20:45-136299,param,,,*.dc.blade[*].diskSize,500GB,,,
