run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
targetDc-16-20240613-07:46:50-6431,runattr,,,configname,targetDc,,,
targetDc-16-20240613-07:46:50-6431,runattr,,,datetime,20240613-07:46:50,,,
targetDc-16-20240613-07:46:50-6431,runattr,,,experiment,targetDc,,,
targetDc-16-20240613-07:46:50-6431,runattr,,,inifile,omnetpp.ini,,,
targetDc-16-20240613-07:46:50-6431,runattr,,,iterationvars,,,,
targetDc-16-20240613-07:46:50-6431,runattr,,,iterationvarsf,,,,
targetDc-16-20240613-07:46:50-6431,runattr,,,measurement,,,,
targetDc-16-20240613-07:46:50-6431,runattr,,,network,SimpleFogNetwork,,,
targetDc-16-20240613-07:46:50-6431,runattr,,,processid,6431,,,
targetDc-16-20240613-07:46:50-6431,runattr,,,repetition,16,,,
targetDc-16-20240613-07:46:50-6431,runattr,,,replication,#16,,,
targetDc-16-20240613-07:46:50-6431,runattr,,,resultdir,results,,,
targetDc-16-20240613-07:46:50-6431,runattr,,,runnumber,16,,,
targetDc-16-20240613-07:46:50-6431,runattr,,,seedset,16,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.serviceName,"""service""",,,
targetDc-16-20240613-07:46:50-6431,param,,,**.local.ipv4Delayer.config,"xmldoc(""local.xml"")",,,
targetDc-16-20240613-07:46:50-6431,param,,,**.metropolitan.ipv4Delayer.config,"xmldoc(""metropolitan.xml"")",,,
targetDc-16-20240613-07:46:50-6431,param,,,**.backbone.ipv4Delayer.config,"xmldoc(""backbone.xml"")",,,
targetDc-16-20240613-07:46:50-6431,param,,,*.simData.simSchema.typename,"""SimSchemaMySQL""",,,
targetDc-16-20240613-07:46:50-6431,param,,,*.simData.simSchema.hostName,"""tcp://127.0.0.1:3306""",,,
targetDc-16-20240613-07:46:50-6431,param,,,*.simData.manager.experiment,"""Test""",,,
targetDc-16-20240613-07:46:50-6431,param,,,**.ipv4.arp.typename,"""GlobalArp""",,,
targetDc-16-20240613-07:46:50-6431,param,,,*.*.ipv4.routingTable.netmaskRoutes,"""""",,,
targetDc-16-20240613-07:46:50-6431,param,,,*.dc.numBlades,40,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.dc.blade[*].staticAppAssignment,false,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.dc.blade[*].isVirtualHardware,true,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.dc.blade[*].maxUsers,16,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.dc.blade[*].maxVMs,16,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.dc.blade[*].numCpuCores,16,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.dc.blade[*].memorySize,64GB,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.dc.blade[*].diskSize,4000GB,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.fg.numBlades,10,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.fg.blade[*].staticAppAssignment,false,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.fg.blade[*].isVirtualHardware,true,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.fg.blade[*].maxUsers,8,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.fg.blade[*].maxVMs,8,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.fg.blade[*].numCpuCores,8,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.fg.blade[*].memorySize,16GB,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.fg.blade[*].diskSize,2000GB,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.fg.blade[*].diskReadBandwidth,500Mbps,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.fg.blade[*].diskWriteBandwidth,500Mbps,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.fg.blade[*].cpu.cpuCore[*].speed,60000,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.fg.blade[*].cpu.cpuCore[*].tick,60s,,,
targetDc-16-20240613-07:46:50-6431,param,,,*.configurator.config,"xml(""<config> 	<interface hosts='*.dns' address='10.0.0.1'/> 	<interface hosts='**' address='10.x.x.x' netmask='255.x.x.x'/> </config>"")",,,
targetDc-16-20240613-07:46:50-6431,param,,,*.controller.hy.apps,"""SmartHomeAppEndToEnd""",,,
targetDc-16-20240613-07:46:50-6431,param,,,*.controller.ns.dns,"""10.0.0.1""",,,
targetDc-16-20240613-07:46:50-6431,param,,,**.dc.**.enableQueue,false,,,
targetDc-16-20240613-07:46:50-6431,param,,,**.dc.**.hasCloudEvents,false,,,
targetDc-16-20240613-07:46:50-6431,param,,,**.dc.serviceDeployed,"""service""",,,
targetDc-16-20240613-07:46:50-6431,param,,,**.fg.**.enableQueue,false,,,
targetDc-16-20240613-07:46:50-6431,param,,,**.fg.**.hasCloudEvents,false,,,
targetDc-16-20240613-07:46:50-6431,param,,,**.fg.serviceDeployed,"""service2""",,,
targetDc-16-20240613-07:46:50-6431,param,,,**.dc.stack.numApps,1,,,
targetDc-16-20240613-07:46:50-6431,param,,,**.dc.stack.app[0].typename,"""SimService""",,,
targetDc-16-20240613-07:46:50-6431,param,,,**.dc.stack.app[0].replyDelay,0s,,,
targetDc-16-20240613-07:46:50-6431,param,,,**.dc.stack.app[0].localPort,443,,,
targetDc-16-20240613-07:46:50-6431,param,,,**.fg.stack.numApps,1,,,
targetDc-16-20240613-07:46:50-6431,param,,,**.fg.stack.app[0].typename,"""SimService""",,,
targetDc-16-20240613-07:46:50-6431,param,,,**.fg.stack.app[0].replyDelay,0s,,,
targetDc-16-20240613-07:46:50-6431,param,,,**.fg.stack.app[0].localPort,443,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,configname,targetDc,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,datetime,20240613-07:46:58,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,experiment,targetDc,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,inifile,omnetpp.ini,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,iterationvars,,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,iterationvarsf,,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,measurement,,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,network,SimpleFogNetwork,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,processid,6431,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,repetition,23,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,replication,#23,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,resultdir,results,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,runnumber,23,,,
targetDc-23-20240613-07:46:58-6431,runattr,,,seedset,23,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.serviceName,"""service""",,,
targetDc-23-20240613-07:46:58-6431,param,,,**.local.ipv4Delayer.config,"xmldoc(""local.xml"")",,,
targetDc-23-20240613-07:46:58-6431,param,,,**.metropolitan.ipv4Delayer.config,"xmldoc(""metropolitan.xml"")",,,
targetDc-23-20240613-07:46:58-6431,param,,,**.backbone.ipv4Delayer.config,"xmldoc(""backbone.xml"")",,,
targetDc-23-20240613-07:46:58-6431,param,,,*.simData.simSchema.typename,"""SimSchemaMySQL""",,,
targetDc-23-20240613-07:46:58-6431,param,,,*.simData.simSchema.hostName,"""tcp://127.0.0.1:3306""",,,
targetDc-23-20240613-07:46:58-6431,param,,,*.simData.manager.experiment,"""Test""",,,
targetDc-23-20240613-07:46:58-6431,param,,,**.ipv4.arp.typename,"""GlobalArp""",,,
targetDc-23-20240613-07:46:58-6431,param,,,*.*.ipv4.routingTable.netmaskRoutes,"""""",,,
targetDc-23-20240613-07:46:58-6431,param,,,*.dc.numBlades,40,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.dc.blade[*].staticAppAssignment,false,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.dc.blade[*].isVirtualHardware,true,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.dc.blade[*].maxUsers,16,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.dc.blade[*].maxVMs,16,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.dc.blade[*].numCpuCores,16,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.dc.blade[*].memorySize,64GB,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.dc.blade[*].diskSize,4000GB,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.fg.numBlades,10,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.fg.blade[*].staticAppAssignment,false,,,
targetDc-23-20240613-07:46:58-6431,param,,,*.fg.blade[*].isVirtualHardware,true,,,
