run,type,module,name,attrname,attrvalue,vectime,vecvalue
targetDc-0-20250504-09:43:37-68733,runattr,,,configname,targetDc,,
targetDc-0-20250504-09:43:37-68733,runattr,,,datetime,20250504-09:43:37,,
targetDc-0-20250504-09:43:37-68733,runattr,,,datetimef,20250504-094337,,
targetDc-0-20250504-09:43:37-68733,runattr,,,experiment,targetDc,,
targetDc-0-20250504-09:43:37-68733,runattr,,,inifile,omnetpp.ini,,
targetDc-0-20250504-09:43:37-68733,runattr,,,iterationvars,,,
targetDc-0-20250504-09:43:37-68733,runattr,,,iterationvarsd,,,
targetDc-0-20250504-09:43:37-68733,runattr,,,iterationvarsf,,,
targetDc-0-20250504-09:43:37-68733,runattr,,,measurement,,,
targetDc-0-20250504-09:43:37-68733,runattr,,,network,SimpleFogNetwork,,
targetDc-0-20250504-09:43:37-68733,runattr,,,processid,68733,,
targetDc-0-20250504-09:43:37-68733,runattr,,,repetition,0,,
targetDc-0-20250504-09:43:37-68733,runattr,,,replication,#0,,
targetDc-0-20250504-09:43:37-68733,runattr,,,resultdir,results,,
targetDc-0-20250504-09:43:37-68733,runattr,,,runnumber,0,,
targetDc-0-20250504-09:43:37-68733,runattr,,,seedset,0,,
targetDc-0-20250504-09:43:37-68733,config,,,debug-on-errors,true,,
targetDc-0-20250504-09:43:37-68733,config,,,image-path,../../images:../../../inet4.5/images,,
targetDc-0-20250504-09:43:37-68733,config,,,*.user.deploymentZone,"""cloud""",,
targetDc-0-20250504-09:43:37-68733,config,,,network,SimpleFogNetwork,,
targetDc-0-20250504-09:43:37-68733,config,,,print-undisposed,true,,
targetDc-0-20250504-09:43:37-68733,config,,,sim-time-limit,1h,,
targetDc-0-20250504-09:43:37-68733,config,,,**.sensor**.statistic-recording,false,,
targetDc-0-20250504-09:43:37-68733,config,,,**.actuator**.statistic-recording,false,,
targetDc-0-20250504-09:43:37-68733,config,,,**.ap.**.statistic-recording,false,,
targetDc-0-20250504-09:43:37-68733,config,,,**.dns**.statistic-recording,false,,
targetDc-0-20250504-09:43:37-68733,config,,,**.eth[*].**.statistic-recording,false,,
targetDc-0-20250504-09:43:37-68733,config,,,**.ipv4.**.statistic-recording,false,,
targetDc-0-20250504-09:43:37-68733,config,,,**.dns**.scalar-recording,false,,
targetDc-0-20250504-09:43:37-68733,config,,,**.ap**.scalar-recording,false,,
targetDc-0-20250504-09:43:37-68733,config,,,**.sensor**.scalar-recording,false,,
targetDc-0-20250504-09:43:37-68733,config,,,**.actuator**.scalar-recording,false,,
targetDc-0-20250504-09:43:37-68733,config,,,**.eth[*].**.scalar-recording,false,,
targetDc-0-20250504-09:43:37-68733,config,,,**.ipv4.**.scalar-recording,false,,
targetDc-0-20250504-09:43:37-68733,config,,,*.simData.manager.experiment,"""Test""",,
targetDc-0-20250504-09:43:37-68733,config,,,*.simData.engine.typename,JsonDataEngine,,
targetDc-0-20250504-09:43:37-68733,config,,,*.simData.engine.apps,"readJSON(""../../database/json/apps.json"")",,
targetDc-0-20250504-09:43:37-68733,config,,,*.simData.engine.vms,"readJSON(""../../database/json/vms.json"")",,
targetDc-0-20250504-09:43:37-68733,config,,,*.simData.engine.slas,[],,
targetDc-0-20250504-09:43:37-68733,config,,,*.simData.engine.users,[],,
targetDc-0-20250504-09:43:37-68733,config,,,*.simData.engine.experiments,[],,
targetDc-0-20250504-09:43:37-68733,config,,,num-rngs,4,,
targetDc-0-20250504-09:43:37-68733,config,,,**.local.ipv4Delayer.rng-0,1,,
targetDc-0-20250504-09:43:37-68733,config,,,**.metropolitan.ipv4Delayer.rng-0,2,,
targetDc-0-20250504-09:43:37-68733,config,,,**.backbone.ipv4Delayer.rng-0,3,,
targetDc-0-20250504-09:43:37-68733,config,,,*.local.ipv4Delayer.config,"xmldoc(""network/local.xml"")",,
targetDc-0-20250504-09:43:37-68733,config,,,*.metropolitan.ipv4Delayer.config,"xmldoc(""network/metropolitan.xml"")",,
targetDc-0-20250504-09:43:37-68733,config,,,*.backbone.ipv4Delayer.config,"xmldoc(""network/backbone.xml"")",,
targetDc-0-20250504-09:43:37-68733,config,,,*.configurator.config,"readXML(""network/networkconf.xml"")",,
targetDc-0-20250504-09:43:37-68733,config,,,*.dns.db.zoneConfig,"readJSON(""network/dnszones.json"")",,
targetDc-0-20250504-09:43:37-68733,config,,,**.ipv4.arp.typename,GlobalArp,,
targetDc-0-20250504-09:43:37-68733,config,,,*.dc.numBlades,40,,
targetDc-0-20250504-09:43:37-68733,config,,,*.dc.zone,"""cloud""",,
targetDc-0-20250504-09:43:37-68733,config,,,*.dc.blade[*].staticAppAssignment,false,,
targetDc-0-20250504-09:43:37-68733,config,,,*.dc.blade[*].maxUsers,16,,
targetDc-0-20250504-09:43:37-68733,config,,,*.dc.blade[*].maxVMs,16,,
targetDc-0-20250504-09:43:37-68733,config,,,*.dc.blade[*].numCpuCores,16,,
targetDc-0-20250504-09:43:37-68733,config,,,*.dc.blade[*].memorySize,64GB,,
targetDc-0-20250504-09:43:37-68733,config,,,*.dc.blade[*].diskSize,4000GB,,
targetDc-0-20250504-09:43:37-68733,config,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,
targetDc-0-20250504-09:43:37-68733,config,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,
targetDc-0-20250504-09:43:37-68733,config,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,
targetDc-0-20250504-09:43:37-68733,config,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,
targetDc-0-20250504-09:43:37-68733,config,,,*.fg.numBlades,10,,
targetDc-0-20250504-09:43:37-68733,config,,,*.fg.zone,"""edge""",,
targetDc-0-20250504-09:43:37-68733,config,,,*.fg.blade[*].staticAppAssignment,false,,
targetDc-0-20250504-09:43:37-68733,config,,,*.fg.blade[*].maxUsers,8,,
targetDc-0-20250504-09:43:37-68733,config,,,*.fg.blade[*].maxVMs,8,,
targetDc-0-20250504-09:43:37-68733,config,,,*.fg.blade[*].numCpuCores,8,,
targetDc-0-20250504-09:43:37-68733,config,,,*.fg.blade[*].memorySize,16GB,,
targetDc-0-20250504-09:43:37-68733,config,,,*.fg.blade[*].diskSize,2000GB,,
targetDc-0-20250504-09:43:37-68733,config,,,*.fg.blade[*].diskReadBandwidth,500Mbps,,
targetDc-0-20250504-09:43:37-68733,config,,,*.fg.blade[*].diskWriteBandwidth,500Mbps,,
targetDc-0-20250504-09:43:37-68733,config,,,*.fg.blade[*].cpu.cpuCore[*].speed,60000,,
targetDc-0-20250504-09:43:37-68733,config,,,*.fg.blade[*].cpu.cpuCore[*].tick,60s,,
targetDc-0-20250504-09:43:37-68733,config,,,**.dataManagerPath,"""simData.manager""",,
targetDc-0-20250504-09:43:37-68733,config,,,**.smqIp,"""10.0.0.1""",,
targetDc-0-20250504-09:43:37-68733,config,,,**.dns,"""10.0.0.2""",,
targetDc-0-20250504-09:43:37-68733,config,,,**.ispResolver,"""10.0.0.2""",,
targetDc-0-20250504-09:43:37-68733,config,,,*.user.vms,"[{""name"":""my-vm"", ""type"":""VM_small""}]",,
targetDc-0-20250504-09:43:37-68733,config,,,*.user.remoteApps,"[{""name"":""my-service"", ""type"": ""SmallIotService"",""platform"":""my-vm""}]",,
targetDc-0-20250504-09:43:37-68733,config,,,*.user.localApps,"[{""name"":""local"", ""type"": ""SmallIotApp"", ""dependsOn"":""my-service""}]",,
targetDc-0-20250504-09:43:37-68733,config,,,*.user.sensors,"[""sensor""]",,
targetDc-0-20250504-09:43:37-68733,config,,,*.netStack.nodeTopic,"""user""",,
targetDc-0-20250504-09:43:37-68733,config,,,*.sensor.model.controllerPath,"""^.^.controller""",,
targetDc-0-20250504-09:43:37-68733,config,,,*.sensor.model.controllerInterface,"""eth0""",,
targetDc-0-20250504-09:43:37-68733,vector,SimpleFogNetwork.dc.resourceManager,allocatedVms:vector,,,"1.214338963659","1"
targetDc-0-20250504-09:43:37-68733,attr,SimpleFogNetwork.dc.resourceManager,allocatedVms:vector,recordingmode,vector,,
targetDc-0-20250504-09:43:37-68733,attr,SimpleFogNetwork.dc.resourceManager,allocatedVms:vector,source,allocatedVms,,
