run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
targetFog-0-20240608-14:51:23-126165,runattr,,,configname,targetFog,,,
targetFog-0-20240608-14:51:23-126165,runattr,,,datetime,20240608-14:51:23,,,
targetFog-0-20240608-14:51:23-126165,runattr,,,experiment,targetFog,,,
targetFog-0-20240608-14:51:23-126165,runattr,,,inifile,omnetpp.ini,,,
targetFog-0-20240608-14:51:23-126165,runattr,,,iterationvars,,,,
targetFog-0-20240608-14:51:23-126165,runattr,,,iterationvarsf,,,,
targetFog-0-20240608-14:51:23-126165,runattr,,,measurement,,,,
targetFog-0-20240608-14:51:23-126165,runattr,,,network,SimpleFogNetwork,,,
targetFog-0-20240608-14:51:23-126165,runattr,,,processid,126165,,,
targetFog-0-20240608-14:51:23-126165,runattr,,,repetition,0,,,
targetFog-0-20240608-14:51:23-126165,runattr,,,replication,#0,,,
targetFog-0-20240608-14:51:23-126165,runattr,,,resultdir,results,,,
targetFog-0-20240608-14:51:23-126165,runattr,,,runnumber,0,,,
targetFog-0-20240608-14:51:23-126165,runattr,,,seedset,0,,,
targetFog-0-20240608-14:51:23-126165,param,,,**.tile*.serviceName,"""service2""",,,
targetFog-0-20240608-14:51:23-126165,param,,,**.metropolitan.ipv4Delayer.config,"xmldoc(""metropolitan.xml"")",,,
targetFog-0-20240608-14:51:23-126165,param,,,**.backbone.ipv4Delayer.config,"xmldoc(""backbone.xml"")",,,
targetFog-0-20240608-14:51:23-126165,param,,,*.simData.simSchema.typename,"""SimSchemaMySQL""",,,
targetFog-0-20240608-14:51:23-126165,param,,,*.simData.simSchema.hostName,"""tcp://127.0.0.1:3306""",,,
targetFog-0-20240608-14:51:23-126165,param,,,*.simData.manager.experiment,"""Test""",,,
targetFog-0-20240608-14:51:23-126165,param,,,**.ipv4.arp.typename,"""GlobalArp""",,,
targetFog-0-20240608-14:51:23-126165,param,,,*.*.ipv4.routingTable.netmaskRoutes,"""""",,,
targetFog-0-20240608-14:51:23-126165,param,,,*.dc.numBlades,4,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.dc.blade[*].staticAppAssignment,false,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.dc.blade[*].isVirtualHardware,true,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.dc.blade[*].maxUsers,24,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.dc.blade[*].maxVMs,24,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.dc.blade[*].numCpuCores,24,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.dc.blade[*].memorySize,256GB,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.dc.blade[*].diskSize,500GB,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.dc.blade[*].diskReadBandwidth,500Mbps,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.dc.blade[*].diskWriteBandwidth,500Mbps,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.dc.blade[*].cpu.cpuCore[*].speed,60000,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.dc.blade[*].cpu.cpuCore[*].tick,60s,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.fg.numBlades,4,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.fg.blade[*].staticAppAssignment,false,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.fg.blade[*].isVirtualHardware,true,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.fg.blade[*].maxUsers,24,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.fg.blade[*].maxVMs,24,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.fg.blade[*].numCpuCores,24,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.fg.blade[*].memorySize,256GB,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.fg.blade[*].diskSize,500GB,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.fg.blade[*].diskReadBandwidth,500Mbps,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.fg.blade[*].diskWriteBandwidth,500Mbps,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.fg.blade[*].cpu.cpuCore[*].speed,60000,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.fg.blade[*].cpu.cpuCore[*].tick,60s,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.configurator.config,"xml(""<config> 	<interface hosts='*.dns' address='10.0.0.1'/> 	<interface hosts='**' address='10.x.x.x' netmask='255.x.x.x'/> </config>"")",,,
targetFog-0-20240608-14:51:23-126165,param,,,*.configurator.dumpConfig,"""ips.xml""",,,
targetFog-0-20240608-14:51:23-126165,param,,,*.tile*.sensors,2,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.tile*.actuators,1,,,
targetFog-0-20240608-14:51:23-126165,param,,,*.tile*.controller*.hy.apps,"""SmartHomeAppEndToEnd""",,,
targetFog-0-20240608-14:51:23-126165,param,,,*.tile*.controller*.ns.dns,"""10.0.0.1""",,,
targetFog-0-20240608-14:51:23-126165,param,,,**.dc.**.enableQueue,false,,,
targetFog-0-20240608-14:51:23-126165,param,,,**.dc.**.hasCloudEvents,false,,,
targetFog-0-20240608-14:51:23-126165,param,,,**.dc.serviceDeployed,"""service""",,,
targetFog-0-20240608-14:51:23-126165,param,,,**.fg.**.enableQueue,false,,,
