run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
targetFog-0-20240616-16:06:08-27681,runattr,,,configname,targetFog,,,
targetFog-0-20240616-16:06:08-27681,runattr,,,datetime,20240616-16:06:08,,,
targetFog-0-20240616-16:06:08-27681,runattr,,,experiment,targetFog,,,
targetFog-0-20240616-16:06:08-27681,runattr,,,inifile,omnetpp.ini,,,
targetFog-0-20240616-16:06:08-27681,runattr,,,iterationvars,,,,
targetFog-0-20240616-16:06:08-27681,runattr,,,iterationvarsf,,,,
targetFog-0-20240616-16:06:08-27681,runattr,,,measurement,,,,
targetFog-0-20240616-16:06:08-27681,runattr,,,network,SimpleFogNetwork,,,
targetFog-0-20240616-16:06:08-27681,runattr,,,processid,27681,,,
targetFog-0-20240616-16:06:08-27681,runattr,,,repetition,0,,,
targetFog-0-20240616-16:06:08-27681,runattr,,,replication,#0,,,
targetFog-0-20240616-16:06:08-27681,runattr,,,resultdir,results,,,
targetFog-0-20240616-16:06:08-27681,runattr,,,runnumber,0,,,
targetFog-0-20240616-16:06:08-27681,runattr,,,seedset,0,,,
targetFog-0-20240616-16:06:08-27681,param,,,*.serviceName,"""service2""",,,
targetFog-0-20240616-16:06:08-27681,param,,,**.local.ipv4Delayer.config,"xmldoc(""local.xml"")",,,
targetFog-0-20240616-16:06:08-27681,param,,,**.metropolitan.ipv4Delayer.config,"xmldoc(""metropolitan.xml"")",,,
targetFog-0-20240616-16:06:08-27681,param,,,**.backbone.ipv4Delayer.config,"xmldoc(""backbone.xml"")",,,
targetFog-0-20240616-16:06:08-27681,param,,,*.simData.simSchema.typename,"""SimSchemaMySQL""",,,
targetFog-0-20240616-16:06:08-27681,param,,,*.simData.simSchema.hostName,"""tcp://127.0.0.1:3306""",,,
targetFog-0-20240616-16:06:08-27681,param,,,*.simData.manager.experiment,"""Test""",,,
targetFog-0-20240616-16:06:08-27681,param,,,**.ipv4.arp.typename,"""GlobalArp""",,,
targetFog-0-20240616-16:06:08-27681,param,,,*.*.ipv4.routingTable.netmaskRoutes,"""""",,,
targetFog-0-20240616-16:06:08-27681,param,,,*.dc.numBlades,40,,,
targetFog-0-20240616-16:06:08-27681,param,,,*.dc.blade[*].staticAppAssignment,false,,,
targetFog-0-20240616-16:06:08-27681,param,,,*.dc.blade[*].isVirtualHardware,true,,,
targetFog-0-20240616-16:06:08-27681,param,,,*.dc.blade[*].maxUsers,16,,,
targetFog-0-20240616-16:06:08-27681,param,,,*.dc.blade[*].maxVMs,16,,,
targetFog-0-20240616-16:06:08-27681,param,,,*.dc.blade[*].numCpuCores,16,,,
